Metric,Simple MergeSort,Chunked MergeSort,Chunked/Simple Ratio
sim_ticks,4441701000000.0,4284820465000.0,0.965x
sim_seconds,4.441701,4.28482,0.965x
sim_insts,1186682689.0,1162542625.0,0.980x
ipc,0.267169,0.271317,1.016x
cpi,3.742956,3.685732,0.985x
l1d_accesses,313742147.0,307604599.0,0.980x
l1d_misses,6102925.0,5595426.0,0.917x
l1d_miss_rate,0.019452,0.01819,0.935x
l1d_hit_rate,0.9805479593406365,0.9818096802902482,1.001x
l1i_accesses,1615805526.0,1584326826.0,0.981x
l1i_misses,419.0,440.0,1.050x
l1i_miss_rate,0.0,0.0,N/A
l1i_hit_rate,0.9999997406866152,0.9999997222795242,1.000x
l2_accesses,6103349.0,5595872.0,0.917x
l2_misses,4168862.0,3614427.0,0.867x
l2_miss_rate,0.683045,0.64591,0.946x
l2_hit_rate,0.31695500290086637,0.3540904795534994,1.117x
